latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,temp,wind_speed,description,humidity,500m 16 days NDVI,500m 16 days EVI,500m 16 days VI Quality,500m 16 days red reflectance,500m 16 days NIR reflectance,500m 16 days blue reflectance,500m 16 days MIR reflectance,500m 16 days view zenith angle,500m 16 days sun zenith angle,500m 16 days relative azimuth angle,500m 16 days composite day of the year,500m 16 days pixel reliability
51.0278,2.2685,303.2,1.3,1.1,2023-02-08,1234,Aqua,MODIS,52,61.03,281.3,11.5,D,2,14.9,2.4281082,Broken clouds,90,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
51.0427,2.2982,301.0,1.0,1.0,2023-02-08,2123,Terra,MODIS,35,61.03,273.8,9.1,N,2,16.8,3.6651642,Broken clouds,83,155,151,4114,5568,5744,5806,3291,231,7469,-5539,2,3
43.9795,-0.9113,313.2,1.1,1.0,2023-02-09,1056,Terra,MODIS,69,61.03,281.4,17.2,D,0,16.2,0.8492311,Overcast clouds,93,181,172,51489,5251,5445,5500,518,844,7515,-6004,355,2
42.9967,-0.3829,334.9,1.2,1.1,2023-02-09,1056,Terra,MODIS,89,61.03,281.1,50.9,D,0,11.4,0.8154211,Overcast clouds,98,146,152,4378,6867,7071,7825,3918,5849,7308,11725,1,3
43.113,-1.2079,322.5,1.0,1.0,2023-02-09,1314,Aqua,MODIS,82,61.03,287.6,22.9,D,0,14.0,0.4547808,Light rain,87,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.1149,-1.1956,301.0,1.0,1.0,2023-02-09,1314,Aqua,MODIS,42,61.03,285.0,6.0,D,0,14.0,0.4547808,Light rain,87,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
42.9157,-0.5757,306.6,2.8,1.6,2023-02-10,1357,Aqua,MODIS,46,61.03,280.9,45.3,D,0,11.1,0.49698222,Drizzle,99,146,152,4378,6867,7071,7825,3918,5849,7308,11725,1,3
43.0771,-1.1247,306.0,2.6,1.5,2023-02-10,1357,Aqua,MODIS,48,61.03,282.2,31.1,D,0,11.5,0.3872727,Drizzle,95,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.0911,-1.1247,307.8,2.6,1.5,2023-02-10,1357,Aqua,MODIS,66,61.03,281.5,37.3,D,0,11.5,0.3872727,Drizzle,95,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.0819,-1.1284,313.4,2.6,1.5,2023-02-10,1357,Aqua,MODIS,74,61.03,282.9,52.1,D,0,11.5,0.3872727,Drizzle,95,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
44.5046,4.0441,322.3,1.0,1.0,2023-02-11,154,Aqua,MODIS,100,61.03,271.9,27.3,N,0,15.5,2.573986,Clear sky,81,247,257,35106,6769,7113,7513,4081,5860,7308,11778,1,3
44.4929,3.8708,307.6,1.2,1.1,2023-02-11,1040,Terra,MODIS,66,61.03,280.4,13.9,D,0,13.0,2.8075283,Overcast clouds,84,247,257,35106,6769,7113,7513,4081,5860,7308,11778,1,3
44.0681,3.6247,300.2,1.1,1.1,2023-02-11,1040,Terra,MODIS,32,61.03,279.5,8.8,D,0,15.5,1.6236012,Overcast clouds,82,383,323,20502,3707,4003,4000,519,808,7514,-5935,355,3
43.4491,4.9041,305.0,1.3,1.1,2023-02-11,1040,Terra,MODIS,52,61.03,285.1,11.8,D,2,22.0,1.5,Clear sky,94,55,42,18453,3150,3185,3826,300,799,7515,-5869,355,2
42.747,3.0147,301.7,1.1,1.1,2023-02-11,1040,Terra,MODIS,0,61.03,284.4,7.4,D,2,19.0,3.6,Broken clouds,79,35,35,2330,6496,6542,7556,3554,5849,7309,11779,1,3
42.5948,2.9036,300.0,1.1,1.1,2023-02-11,1040,Terra,MODIS,21,61.03,283.0,6.4,D,2,20.6,3.6,Broken clouds,67,428,387,4114,4365,4756,4606,756,827,7516,-5876,355,3
42.5925,2.9169,303.5,1.1,1.1,2023-02-11,1040,Terra,MODIS,56,61.03,282.7,8.8,D,0,20.6,3.6,Broken clouds,67,428,387,4114,4365,4756,4606,756,827,7516,-5876,355,3
43.1053,-1.1417,301.4,1.0,1.0,2023-02-11,1040,Terra,MODIS,45,61.03,285.7,6.4,D,0,13.6,0.633403,Drizzle,90,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.0827,-0.6094,306.4,1.2,1.1,2023-02-11,1301,Aqua,MODIS,63,61.03,288.0,12.0,D,0,13.4,0.41810435,Overcast clouds,96,146,152,4378,6867,7071,7825,3918,5849,7308,11725,1,3
43.0756,-1.1109,307.0,1.3,1.1,2023-02-11,1301,Aqua,MODIS,59,61.03,287.3,12.4,D,0,11.5,0.3872727,Drizzle,95,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
43.0729,-1.1253,309.2,1.3,1.1,2023-02-11,1301,Aqua,MODIS,68,61.03,286.1,14.9,D,0,11.5,0.3872727,Drizzle,95,346,373,4378,7466,8002,7934,4871,5837,7309,11790,1,3
44.2469,6.1366,300.9,1.2,1.1,2023-02-11,1301,Aqua,MODIS,42,61.03,281.8,8.1,D,0,12.8,1.2700825,Clear sky,93,1393,960,51229,2124,2812,2601,157,781,7513,-5929,355,2
44.2453,6.1226,318.1,1.2,1.1,2023-02-11,1301,Aqua,MODIS,78,61.03,286.9,23.4,D,0,12.8,1.2700825,Clear sky,93,1393,960,51229,2124,2812,2601,157,781,7513,-5929,355,2
44.0671,3.6204,303.0,1.0,1.0,2023-02-11,1301,Aqua,MODIS,55,61.03,281.7,8.4,D,0,15.5,1.6236012,Overcast clouds,82,383,323,20502,3707,4003,4000,519,808,7514,-5935,355,3
44.0227,0.7455,302.5,1.1,1.0,2023-02-11,1301,Aqua,MODIS,53,61.03,286.6,6.5,D,0,16.3,3.506336,Overcast clouds,83,106,109,35106,6646,6789,7671,3846,5849,7308,11789,1,3
43.0951,-0.6157,309.4,1.8,1.3,2023-02-12,1343,Aqua,MODIS,69,61.03,289.6,22.5,D,0,14.7,0.38697305,Overcast clouds,92,146,152,4378,6867,7071,7825,3918,5849,7308,11725,1,3
